vintage,vintage_year,vintage_month,forecast_year,iso3,country,subject_code,subject_descriptor,units,value
1996-Oct,1996,Oct,1997,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1996-Oct,1996,Oct,1997,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,4.443487892272159
1996-Oct,1996,Oct,1997,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.39718038138124606
1997-Apr,1997,Apr,1998,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.4099198624739173
1997-Apr,1997,Apr,1998,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,5.253272012522192
1997-Apr,1997,Apr,1998,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.36645294120394467
1997-Apr,1997,Apr,1998,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,0.5498950920529014
1997-Apr,1997,Apr,1998,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,3.3735623987449834
1997-Apr,1997,Apr,1998,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,1.7251475032411097
1997-Apr,1997,Apr,1998,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.0694272497486916
1997-Apr,1997,Apr,1998,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,0.8523465891692336
1997-Apr,1997,Apr,1998,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,3.4757916883041493
1997-Apr,1997,Apr,1998,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1997-Apr,1997,Apr,1998,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,4.3127504707344455
1997-Apr,1997,Apr,1998,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.76225888673116
1997-Oct,1997,Oct,1998,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.3564719137149441
1997-Oct,1997,Oct,1998,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,5.713146113536611
1997-Oct,1997,Oct,1998,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,0.04191544812719955
1997-Oct,1997,Oct,1998,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,0.5256796202115654
1997-Oct,1997,Oct,1998,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,3.556378373646744
1997-Oct,1997,Oct,1998,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,2.1674423555910556
1997-Oct,1997,Oct,1998,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-5.005353155047518
1997-Oct,1997,Oct,1998,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,1.2802178046762187
1997-Oct,1997,Oct,1998,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,3.4243732119399626
1997-Oct,1997,Oct,1998,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1997-Oct,1997,Oct,1998,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,5.716176140433564
1997-Oct,1997,Oct,1998,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.037139568771577
1998-Apr,1998,Apr,1999,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.458655170628874
1998-Apr,1998,Apr,1999,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,6.172228047436318
1998-Apr,1998,Apr,1999,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,0.061436718510386006
1998-Apr,1998,Apr,1999,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.23937091759162232
1998-Apr,1998,Apr,1999,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,5.035168908179348
1998-Apr,1998,Apr,1999,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,2.2566858143880344
1998-Apr,1998,Apr,1999,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.0589685269770235
1998-Apr,1998,Apr,1999,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,1.5457622958691526
1998-Apr,1998,Apr,1999,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,2.3798647104119612
1998-Apr,1998,Apr,1999,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1998-Apr,1998,Apr,1999,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,6.13928541244184
1998-Apr,1998,Apr,1999,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.4082577167570796
1998-Oct,1998,Oct,1999,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.586505603889137
1998-Oct,1998,Oct,1999,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,5.982194976591363
1998-Oct,1998,Oct,1999,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,0.3636532054818003
1998-Oct,1998,Oct,1999,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.19407045558539746
1998-Oct,1998,Oct,1999,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,4.669215089073546
1998-Oct,1998,Oct,1999,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,1.922834109792946
